,s,pCount,iCount,totalCount
0,http://www.wikidata.org/entity/Q1716875,21,50.0,71.0
1,http://www.wikidata.org/entity/Q97672533,16,12.0,28.0
2,http://www.wikidata.org/entity/Q109269439,18,7.0,25.0
3,http://www.wikidata.org/entity/Q105592489,16,1.0,17.0
4,http://www.wikidata.org/entity/Q105592359,15,2.0,17.0
5,http://www.wikidata.org/entity/Q105592517,14,2.0,16.0
6,http://www.wikidata.org/entity/Q96780034,8,2.0,10.0
7,http://www.wikidata.org/entity/Q109353183,5,2.0,7.0
8,http://www.wikidata.org/entity/Q109353162,5,2.0,7.0
9,http://www.wikidata.org/entity/Q109353155,5,2.0,7.0
10,http://www.wikidata.org/entity/Q109353149,5,2.0,7.0
11,http://www.wikidata.org/entity/Q109353213,4,1.0,5.0
12,http://www.wikidata.org/entity/Q108887238,4,1.0,5.0
13,http://www.wikidata.org/entity/Q108991148,3,0.0,3.0
14,http://www.wikidata.org/entity/Q112284553,1,0.0,1.0
